uniqid,d11,polintr,qb1,qb3_1,qb3_2,qb3_3,qb3_4,qb3_5,qb3_6,qb3_7,d7r,d9b,d10,d15a,d15b,d25,d63,d1,p1,p2,p3,region_denmark
110005661,71,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Diploma Degree,Woman,"Retired, unable to work","Employed position, at desk",Rural area or village,The upper middle class of society,8,19 Sep 21,17 - 19 h,2125,DK01 - Hovedstaden
110005662,84,Not at all,Fairly important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,Farmer,Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,6,19 Sep 21,13 - 16 h,3202,DK03 - Syddanmark
110005663,75,Low,Not at all important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Widow,DEN:Diploma Degree,Man,"Retired, unable to work",Skilled manual worker,Rural area or village,The working class of society,Refusal (SPONT.),19 Sep 21,13 - 16 h,3268,DK03 - Syddanmark
110005664,65,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Divorced or separated,DEN:Diploma Degree,Woman,"Employed position, at desk",Inap. (not 1 to 4 in d15a),Rural area or village,The working class of society,4,19 Sep 21,13 - 16 h,2151,DK03 - Syddanmark
110005665,52,Strong,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Divorced or separated,DEN:Bachelor or equivalent,Woman,"Retired, unable to work",Supervisor,Rural area or village,The middle class of society,2,19 Sep 21,13 - 16 h,2609,DK03 - Syddanmark
110005666,39,Strong,Very important,Not mentioned,Not mentioned,Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Master or equivalent,Woman,"Employed position, at desk",Inap. (not 1 to 4 in d15a),Large town,The upper middle class of society,4,24 Sep 21,8 - 12 h,3051,DK01 - Hovedstaden
110005667,56,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,DEN:Short cycle tertiary,Man,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Large town,The middle class of society,6,24 Sep 21,17 - 19 h,2900,DK01 - Hovedstaden
110005668,73,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Diploma Degree,Man,"Retired, unable to work","Middle management, etc.",Large town,The middle class of society,1 Left,24 Sep 21,17 - 19 h,3184,DK01 - Hovedstaden
110005669,29,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Single,DEN:Master or equivalent,Man,"Employed position, at desk",Inap. (not 1 to 4 in d15a),Large town,The middle class of society,2,19 Sep 21,17 - 19 h,3030,DK01 - Hovedstaden
110005670,67,Strong,Fairly important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Short cycle tertiary,Man,Skilled manual worker,Inap. (not 1 to 4 in d15a),Large town,The middle class of society,2,23 Sep 21,17 - 19 h,3595,DK01 - Hovedstaden
110005671,25,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,Single living with a partner,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,Student,"Employed position, service job",Large town,The middle class of society,2,23 Sep 21,8 - 12 h,3054,DK04 - Midtjylland
110005672,82,Medium,Very important,Not mentioned,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,Not mentioned,The environmental impact of digital products and services,Widow,DEN:Short cycle tertiary,Man,"Retired, unable to work",Farmer,Rural area or village,The middle class of society,DK (SPONT.),19 Sep 21,17 - 19 h,3040,DK05 - Nordjylland
110005673,50,Strong,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,9,20 Sep 21,13 - 16 h,2115,DK03 - Syddanmark
110005674,66,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,"Retired, unable to work","Middle management, etc.",Rural area or village,The middle class of society,5,20 Sep 21,13 - 16 h,1703,DK03 - Syddanmark
110005675,77,Medium,Not at all important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Single,DEN:Primary school 8-11 years,Man,"Unemployed, temporarily not working","Unskilled manual worker, etc.",Rural area or village,The working class of society,7,20 Sep 21,8 - 12 h,1330,DK04 - Midtjylland
110005676,58,Medium,Very important,Not mentioned,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Bachelor or equivalent,Man,"General management, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,5,20 Sep 21,8 - 12 h,2322,DK04 - Midtjylland
110005677,91,Medium,Very important,Not mentioned,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Diploma Degree,Woman,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,6,20 Sep 21,8 - 12 h,1824,DK04 - Midtjylland
110005678,34,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Short cycle tertiary,Man,Skilled manual worker,Inap. (not 1 to 4 in d15a),Rural area or village,The working class of society,6,20 Sep 21,8 - 12 h,2351,DK05 - Nordjylland
110005679,52,Medium,Very important,Use of personal data and information by companies or public administrations,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Short cycle tertiary,Woman,Skilled manual worker,Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,3,24 Sep 21,8 - 12 h,1096,DK05 - Nordjylland
110005680,68,Strong,Very important,Use of personal data and information by companies or public administrations,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,The environmental impact of digital products and services,Widow,DEN:No Education,Woman,"Retired, unable to work","Unskilled manual worker, etc.",Rural area or village,The working class of society,6,21 Sep 21,8 - 12 h,2605,DK05 - Nordjylland
110005681,28,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Master or equivalent,Woman,"Employed position, at desk",Inap. (not 1 to 4 in d15a),Large town,The middle class of society,6,20 Sep 21,8 - 12 h,2783,DK04 - Midtjylland
110005682,25,Strong,Fairly important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,Single living with a partner,DEN:Bachelor or equivalent,Woman,Student,"Unskilled manual worker, etc.",Large town,The middle class of society,1 Left,20 Sep 21,13 - 16 h,2634,DK04 - Midtjylland
110005683,22,Low,Very important,Use of personal data and information by companies or public administrations,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Single,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,Student,"Unskilled manual worker, etc.",Small/middle town,The lower middle class of society,7,20 Sep 21,13 - 16 h,1912,DK03 - Syddanmark
110005684,37,Medium,Very important,Not mentioned,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,Single living with a partner,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Retired, unable to work",Skilled manual worker,Small/middle town,The middle class of society,5,20 Sep 21,13 - 16 h,4392,DK02 - Sjaelland
110005685,36,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,(Re)Married,DEN:Diploma Degree,Man,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Small/middle town,The middle class of society,7,23 Sep 21,13 - 16 h,2633,DK02 - Sjaelland
110005686,49,Medium,Very important,Not mentioned,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Diploma Degree,Woman,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,6,20 Sep 21,13 - 16 h,2460,DK04 - Midtjylland
110005687,53,Strong,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,The environmental impact of digital products and services,(Re)Married,DEN:Short cycle tertiary,Man,"Retired, unable to work",Skilled manual worker,Small/middle town,The working class of society,7,20 Sep 21,13 - 16 h,2646,DK04 - Midtjylland
110005688,64,Low,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,(Re)Married,DEN:Short cycle tertiary,Woman,"Retired, unable to work","Employed position, service job",Small/middle town,The middle class of society,4,20 Sep 21,13 - 16 h,2134,DK04 - Midtjylland
110005689,16,Strong,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Single living with a partner,DEN:Primary school 8-11 years,Man,Student,"Unskilled manual worker, etc.",Small/middle town,The working class of society,3,20 Sep 21,17 - 19 h,2552,DK04 - Midtjylland
110005690,58,Medium,Not very important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Diploma Degree,Woman,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Large town,The middle class of society,1 Left,20 Sep 21,13 - 16 h,3666,DK01 - Hovedstaden
110005691,24,Low,Fairly important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Single,DEN:Master or equivalent,Man,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Large town,The upper middle class of society,1 Left,21 Sep 21,13 - 16 h,3161,DK01 - Hovedstaden
110005692,64,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Single living with a partner,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Owner of a shop, craftsmen, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The lower middle class of society,2,22 Sep 21,8 - 12 h,3722,DK04 - Midtjylland
110005693,26,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Single,DEN:Master or equivalent,Man,"Employed position, at desk",Inap. (not 1 to 4 in d15a),Large town,The middle class of society,3,21 Sep 21,8 - 12 h,2115,DK05 - Nordjylland
110005694,62,Not at all,Very important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,DEN:Primary school 8-11 years,Woman,"Employed position, travelling",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,DK (SPONT.),20 Sep 21,13 - 16 h,2001,DK03 - Syddanmark
110005695,77,Not at all,Not at all important,Not mentioned,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,Widow,DEN:Primary school 8-11 years,Woman,"Retired, unable to work","Unskilled manual worker, etc.",Rural area or village,The middle class of society,5,20 Sep 21,13 - 16 h,2797,DK03 - Syddanmark
110005696,67,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,"Business proprietors, etc.",Inap. (not 1 to 4 in d15a),Small/middle town,The middle class of society,3,20 Sep 21,17 - 19 h,2477,DK03 - Syddanmark
110005697,66,Low,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Business proprietors, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,3,20 Sep 21,20 - 22 h,2892,DK03 - Syddanmark
110005698,41,Low,Very important,Use of personal data and information by companies or public administrations,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,"Employed position, service job",Inap. (not 1 to 4 in d15a),Small/middle town,The working class of society,3,20 Sep 21,8 - 12 h,2371,DK03 - Syddanmark
110005699,22,Low,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Single,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Woman,Skilled manual worker,Inap. (not 1 to 4 in d15a),Small/middle town,The middle class of society,5,22 Sep 21,13 - 16 h,2448,DK01 - Hovedstaden
110005700,55,Strong,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,DEN:Master or equivalent,Man,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,6,21 Sep 21,13 - 16 h,1960,DK01 - Hovedstaden
110005701,43,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Master or equivalent,Man,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Small/middle town,The upper middle class of society,6,18 Sep 21,13 - 16 h,2339,DK02 - Sjaelland
110005702,35,Medium,Very important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,The environmental impact of digital products and services,Single,DEN:Master or equivalent,Woman,"Employed professional (employed doctor, etc.)",Inap. (not 1 to 4 in d15a),Small/middle town,The middle class of society,1 Left,18 Sep 21,13 - 16 h,3237,DK02 - Sjaelland
110005703,55,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,DEN:Master or equivalent,Man,"Middle management, etc.",Inap. (not 1 to 4 in d15a),Large town,The middle class of society,7,19 Sep 21,13 - 16 h,2081,DK02 - Sjaelland
110005704,62,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,The environmental impact of digital products and services,(Re)Married,DEN:Master or equivalent,Man,"Employed position, service job",Inap. (not 1 to 4 in d15a),Small/middle town,The middle class of society,3,20 Sep 21,8 - 12 h,2537,DK02 - Sjaelland
110005705,70,Medium,Fairly important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Master or equivalent,Man,"Retired, unable to work","Employed position, at desk",Small/middle town,The middle class of society,7,20 Sep 21,13 - 16 h,2924,DK02 - Sjaelland
110005706,27,Strong,Fairly important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,The environmental impact of digital products and services,(Re)Married,DEN:Short cycle tertiary,Woman,Student,"Employed position, at desk",Rural area or village,The working class of society,5,21 Sep 21,13 - 16 h,2232,DK03 - Syddanmark
110005707,51,Strong,Fairly important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,Widow,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Unemployed, temporarily not working",Farmer,Rural area or village,The middle class of society,6,21 Sep 21,13 - 16 h,2096,DK03 - Syddanmark
110005708,56,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Single,DEN:Primary school 8-11 years,Man,"Unskilled manual worker, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,6,20 Sep 21,13 - 16 h,2588,DK04 - Midtjylland
110005709,34,Low,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,Single,DEN:Primary school 8-11 years,Woman,Skilled manual worker,Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,5,20 Sep 21,13 - 16 h,2655,DK04 - Midtjylland
110005710,43,Medium,Fairly important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Primary school 8-11 years,Man,"Retired, unable to work","Unskilled manual worker, etc.",Rural area or village,The middle class of society,9,20 Sep 21,17 - 19 h,3447,DK04 - Midtjylland
110005711,57,Medium,Very important,Use of personal data and information by companies or public administrations,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Single,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,Skilled manual worker,Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,6,23 Sep 21,8 - 12 h,2325,DK04 - Midtjylland
110005712,85,Medium,Not at all important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,Widow,DEN:No Education,Woman,"Retired, unable to work",Farmer,Small/middle town,The middle class of society,7,19 Sep 21,13 - 16 h,28294,DK05 - Nordjylland
110005713,76,Medium,Fairly important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,DEN:Short cycle tertiary,Woman,"Retired, unable to work","Employed position, service job",Small/middle town,The middle class of society,3,20 Sep 21,13 - 16 h,5601,DK05 - Nordjylland
110005714,70,Not at all,Fairly important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Diploma Degree,Woman,"Retired, unable to work","Employed position, travelling",Small/middle town,The middle class of society,5,21 Sep 21,13 - 16 h,2195,DK05 - Nordjylland
110005715,62,Strong,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Unskilled manual worker, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,8,21 Sep 21,13 - 16 h,3099,DK05 - Nordjylland
110005716,53,Not at all,Very important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,The environmental impact of digital products and services,Single,DEN:Primary school 8-11 years,Woman,"Retired, unable to work","Unskilled manual worker, etc.",Small/middle town,The middle class of society,6,21 Sep 21,13 - 16 h,2187,DK03 - Syddanmark
110005717,89,Not at all,Very important,Use of personal data and information by companies or public administrations,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Widow,DEN:Short cycle tertiary,Man,"Retired, unable to work",Farmer,Small/middle town,The middle class of society,8,21 Sep 21,8 - 12 h,2379,DK04 - Midtjylland
110005718,55,Medium,Fairly important,Not mentioned,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Single,DEN:Primary school 8-11 years,Man,"Retired, unable to work","Unskilled manual worker, etc.",Rural area or village,The lower middle class of society,8,21 Sep 21,8 - 12 h,1136,DK04 - Midtjylland
110005719,70,Medium,Very important,Use of personal data and information by companies or public administrations,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,Not mentioned,Not mentioned,Not mentioned,(Re)Married,"DEN:Primary school, less than 7 years",Man,"Unskilled manual worker, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The working class of society,5,21 Sep 21,13 - 16 h,1812,DK04 - Midtjylland
110005720,93,Low,Fairly important,Not mentioned,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Widow,"DEN:Primary school, less than 7 years",Woman,Student,"Unskilled manual worker, etc.",Small/middle town,The middle class of society,5,21 Sep 21,13 - 16 h,2441,DK04 - Midtjylland
110005721,68,Medium,Very important,Not mentioned,Not mentioned,The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Diploma Degree,Woman,"Retired, unable to work",Skilled manual worker,Small/middle town,The middle class of society,5,21 Sep 21,13 - 16 h,2627,DK04 - Midtjylland
110005722,42,Medium,Fairly important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,DEN:Bachelor or equivalent,Woman,"General management, etc.",Inap. (not 1 to 4 in d15a),Small/middle town,The middle class of society,8,21 Sep 21,13 - 16 h,3648,DK04 - Midtjylland
110005723,57,Not at all,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Divorced or separated,DEN:Master or equivalent,Woman,"Retired, unable to work","Employed position, at desk",Large town,The upper middle class of society,4,21 Sep 21,13 - 16 h,2428,DK05 - Nordjylland
